"Region" "Disease" "SimMn_NbRCTs" "SimMed_NbRCTs" "Sim95low_NbRCTs" "Sim95up_NbRCTs" "SimMn_PrRCTs" "SimMed_PrRCTs" "Sim95low_PrRCTs" "Sim95up_PrRCTs"
"185" "Sub-Saharian Africa" "Leprosy" 4.42121300058038 4 0 10 0.00193549171567846 0.00177935943060498 0 0.00437775678586073
"186" "Sub-Saharian Africa" "Neoplasms" 201.1646 201 181 219 0.0807618167291676 0.0808442851453604 0.0731511254019293 0.0876910699919549
"187" "Sub-Saharian Africa" "Cardiovascular and circulatory diseases" 165.9334 165 137 199 0.0726893585359423 0.0724509990337564 0.0600260983036103 0.0867256637168142
"188" "Sub-Saharian Africa" "Chronic respiratory diseases" 131.4246 132 115 147 0.0583071573559948 0.0583115752828547 0.0509932663257045 0.0655664585191793
"189" "Sub-Saharian Africa" "Cirrhosis of the liver" 10.6353906171852 10 3 21 0.00469695217118835 0.00442282176028306 0.00133868808567604 0.00939390986880943
"190" "Sub-Saharian Africa" "Digestive diseases (except cirrhosis)" 136.3194 133 103 185 0.0618081438825327 0.0605780330503788 0.0468468037827502 0.0839101091681486
"191" "Sub-Saharian Africa" "Neurological disorders" 99.4187 99 80 122 0.0444664099900098 0.0442238267148014 0.0357302317874989 0.0547698390649495
"192" "Sub-Saharian Africa" "Mental and behavioral disorders" 134.6439 134 119 153 0.0599413592030788 0.0597511909893778 0.0524391636584969 0.0683763440860215
"193" "Sub-Saharian Africa" "Diabetes, urinary diseases and male infertility" 261.5111 261 229 295 0.114640694003502 0.114533679731918 0.100612356763331 0.129174613879012
"194" "Sub-Saharian Africa" "Gynecological diseases" 36.2401 33 20 70 0.0161925112927734 0.0148648097010689 0.00884564352056612 0.0313061407440609
"195" "Sub-Saharian Africa" "Hemoglobinopathies and hemolytic anemias" 6.10624529721595 6 0 15 0.00266395734403411 0.00256519880290723 0 0.00650420649319611
"196" "Sub-Saharian Africa" "Musculoskeletal disorders" 126.8648 126 107 149 0.0554965591675531 0.0552699228791774 0.0467879117496302 0.0651512948123984
"197" "Sub-Saharian Africa" "Congenital anomalies" 4.17438911940987 4 0 11 0.00181407210869397 0.00171342907838507 0 0.00478885502829778
"198" "Sub-Saharian Africa" "Skin and subcutaneous diseases" 100.1645 98 76 135 0.0449509341193495 0.0441445627783918 0.0342495056054324 0.0603261309118444
"199" "Sub-Saharian Africa" "Sense organ diseases" 91.0019 91 74 111 0.040351063324836 0.0401965163019205 0.0327430007867143 0.0491447162077131
"200" "Sub-Saharian Africa" "Oral disorders" 50.7514 41 14 149 0.0223653491362119 0.0180670751645602 0.00636913749515496 0.0656188862171099
"201" "Sub-Saharian Africa" "Sudden infant death syndrome" 0.143950995405819 0 0 1 6.28304246037091e-05 0 0 0.000453873283225383
"202" "Sub-Saharian Africa" "Injuries" NA NA NA NA NA NA NA NA
"203" "Sub-Saharian Africa" "All" 2211.0041 2213 2119 2294 NA NA NA NA
"204" "All" "Tuberculosis" 291.61301715439 300 89 457 0.00344472666159648 0.00354205097630569 0.00106200119001607 0.00537165647838914
"205" "All" "HIV/AIDS" 1487.0704 1501 1157.975 1751 0.0172933132938645 0.017433110036126 0.0134948640638887 0.0203843116386171
"206" "All" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 3507.9271 3492.5 2856.975 4241 0.041538160035434 0.0414191145863686 0.0339903558500011 0.050099139924556
"207" "All" "Malaria" 426.065119535861 435 266 549 0.00503972998139919 0.00514456343162767 0.00314552024982974 0.00650435233686561
"208" "All" "Neglected tropical diseases excluding malaria" 517.189 491 330 829.025 0.00613422947596403 0.00583634871186749 0.00392079968060567 0.009892022361359
"209" "All" "Maternal disorders" 2272.393 2209.5 1418.975 3465.05 0.026734493656044 0.026055851652247 0.0169604280494751 0.0403263804504774
"210" "All" "Neonatal disorders" 1590.95357678839 1404 630 3609 0.0186856230589641 0.0166328416421955 0.00748629528597567 0.041697470157707
"211" "All" "Nutritional deficiencies" 1304.5291 1272 658 2122 0.0154164682624674 0.0150476580358409 0.0078485324673693 0.0250407147184239
"212" "All" "Sexually transmitted diseases excluding HIV" 1517.15677541476 425 39 9031 0.0151113917388789 0.00503979701783045 0.00046437895425929 0.0971332907339846
"213" "All" "Hepatitis" 922.0711 915 603 1307 0.0109435872230802 0.010837280950586 0.00717851930126611 0.0154433244654837
"214" "All" "Leprosy" 72.8876958792803 65 4 203.724999999999 0.000862713462158083 0.000771627549393163 4.69559956617228e-05 0.0024262491946724
"215" "All" "Neoplasms" 12001.1329 12025 11141.975 12744.025 0.126136351255165 0.126378649778903 0.117644733559054 0.133463207860421
"216" "All" "Cardiovascular and circulatory diseases" 10679.07 10677 9495 11913.05 0.121549934303509 0.121507094614905 0.108947182394472 0.134401091881225
"217" "All" "Chronic respiratory diseases" 4775.6696 4776 4289 5259.025 0.0566797613868748 0.0566594142179903 0.0508833706240818 0.0627232178605585
"218" "All" "Cirrhosis of the liver" 1058.02540762229 1059 546.8 1553 0.0125795556967012 0.0125970762905436 0.00651231149184649 0.0184210492804372
"219" "All" "Digestive diseases (except cirrhosis)" 6862.583 6752 5583.975 8774 0.0817499405055093 0.0806455598627954 0.0673755010069823 0.102439197867428
"220" "All" "Neurological disorders" 6404.3829 6396 5566 7294 0.0756619878697411 0.0755517313814964 0.0660526986589857 0.0858282141212042
"221" "All" "Mental and behavioral disorders" 9350.4144 9348 8691.975 10032.025 0.110405219329159 0.110395251895569 0.102452292815985 0.118572594374696
"222" "All" "Diabetes, urinary diseases and male infertility" 11699.4323 11695 10559 12854.05 0.132433871061316 0.132380793114211 0.120733279079101 0.144630894069906
"223" "All" "Gynecological diseases" 2841.1602 2737 2142 4170.025 0.0337868533955039 0.0325898927991602 0.0256200694568552 0.0489845056420702
"224" "All" "Hemoglobinopathies and hemolytic anemias" 137.788562829195 127 7 330 0.00162571175380262 0.00150672092443854 8.30520692864313e-05 0.0038884807068751
"225" "All" "Musculoskeletal disorders" 6952.0748 6951 6189 7738.025 0.0810194216154212 0.0809802503634307 0.0724394332863886 0.0898703846392905
"226" "All" "Congenital anomalies" 386.383010603965 376 29 835 0.00454034397067493 0.00441612365605483 0.000343021398094768 0.00977062314021986
"227" "All" "Skin and subcutaneous diseases" 4432.5386 4354 3542 5756 0.0530352864241106 0.052207290572875 0.0426619945116482 0.0679253499390403
"228" "All" "Sense organ diseases" 5212.8859 5206 4512.975 5957.025 0.0619068725775662 0.0618362390706843 0.0536091733126331 0.07055793080355
"229" "All" "Oral disorders" 2657.1074 2249 1201 6597.025 0.0308411012479923 0.0265315255328967 0.0143417357303109 0.0741393374759107
"230" "All" "Sudden infant death syndrome" 8.46554364471669 3 0 44.3999999999999 0.000100150922127501 3.6007489557828e-05 0 0.000523420287364842
"231" "All" "Injuries" NA NA NA NA NA NA NA NA
"232" "All" "All" 82137.4957 82179 78661.775 85358.2 NA NA NA NA
