"metr" "Region" "Disease" "burden"
"354" "death" "Sub-Saharian Africa" "Mental and behavioral disorders" 12139.0579534
"355" "death" "Sub-Saharian Africa" "Musculoskeletal disorders" 15612.3711315
"356" "death" "Sub-Saharian Africa" "Neglected tropical diseases excluding malaria" 40572.706460758
"357" "death" "Sub-Saharian Africa" "Neonatal disorders" 717463.975271
"358" "death" "Sub-Saharian Africa" "Neoplasms" 302335.2255288
"359" "death" "Sub-Saharian Africa" "Neurological disorders" 96209.1323722
"360" "death" "Sub-Saharian Africa" "Nutritional deficiencies" 358771.3897872
"361" "death" "Sub-Saharian Africa" "Sexually transmitted diseases excluding HIV" 80710.832965
"362" "death" "Sub-Saharian Africa" "Skin and subcutaneous diseases" 26098.85578
"363" "death" "Sub-Saharian Africa" "Sudden infant death syndrome" 5360.7584437
"364" "death" "Sub-Saharian Africa" "Tuberculosis" 309989.64156
"365" "yld" "Central Europe, Eastern Europe, and Central Asia" "Cardiovascular and circulatory diseases" 2176519.255
"366" "yld" "Central Europe, Eastern Europe, and Central Asia" "Chronic respiratory diseases" 2432869.7179
"367" "yld" "Central Europe, Eastern Europe, and Central Asia" "Cirrhosis of the liver" 65879.11761
"368" "yld" "Central Europe, Eastern Europe, and Central Asia" "Congenital anomalies" 155330.999
"369" "yld" "Central Europe, Eastern Europe, and Central Asia" "Diabetes, urinary diseases and male infertility" 2648969.082646
"370" "yld" "Central Europe, Eastern Europe, and Central Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 879947.423638492
"371" "yld" "Central Europe, Eastern Europe, and Central Asia" "Digestive diseases (except cirrhosis)" 348918.592829
"372" "yld" "Central Europe, Eastern Europe, and Central Asia" "Gynecological diseases" 609125.822
"373" "yld" "Central Europe, Eastern Europe, and Central Asia" "Hemoglobinopathies and hemolytic anemias" 334805.099
"374" "yld" "Central Europe, Eastern Europe, and Central Asia" "Hepatitis" 22350.3905
"375" "yld" "Central Europe, Eastern Europe, and Central Asia" "HIV/AIDS" 196104.3311
"376" "yld" "Central Europe, Eastern Europe, and Central Asia" "Leprosy" 23.8790711
"377" "yld" "Central Europe, Eastern Europe, and Central Asia" "Malaria" 2272.554683
"378" "yld" "Central Europe, Eastern Europe, and Central Asia" "Maternal disorders" 13328.300449
"379" "yld" "Central Europe, Eastern Europe, and Central Asia" "Mental and behavioral disorders" 12703025.313
"380" "yld" "Central Europe, Eastern Europe, and Central Asia" "Musculoskeletal disorders" 12854770.74477
"381" "yld" "Central Europe, Eastern Europe, and Central Asia" "Neglected tropical diseases excluding malaria" 135169.468659745
"382" "yld" "Central Europe, Eastern Europe, and Central Asia" "Neonatal disorders" 402915.828728
"383" "yld" "Central Europe, Eastern Europe, and Central Asia" "Neoplasms" 387147.417818
"384" "yld" "Central Europe, Eastern Europe, and Central Asia" "Neurological disorders" 3336976.6165
"385" "yld" "Central Europe, Eastern Europe, and Central Asia" "Nutritional deficiencies" 2012891.071956
"386" "yld" "Central Europe, Eastern Europe, and Central Asia" "Oral disorders" 1366150.01
"387" "yld" "Central Europe, Eastern Europe, and Central Asia" "Sense organ diseases" 2761841.29
"388" "yld" "Central Europe, Eastern Europe, and Central Asia" "Sexually transmitted diseases excluding HIV" 97594.952
"389" "yld" "Central Europe, Eastern Europe, and Central Asia" "Skin and subcutaneous diseases" 1857619.14
"390" "yld" "Central Europe, Eastern Europe, and Central Asia" "Sudden infant death syndrome" 0
"391" "yld" "Central Europe, Eastern Europe, and Central Asia" "Tuberculosis" 413514.878
"392" "yld" "High-income" "Cardiovascular and circulatory diseases" 5464325.119255
"393" "yld" "High-income" "Chronic respiratory diseases" 7391269.12244
"394" "yld" "High-income" "Cirrhosis of the liver" 72944.876865
"395" "yld" "High-income" "Congenital anomalies" 333042.4907
"396" "yld" "High-income" "Diabetes, urinary diseases and male infertility" 6462439.75880043
"397" "yld" "High-income" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 1966742.97703972
"398" "yld" "High-income" "Digestive diseases (except cirrhosis)" 1278650.9171035
"399" "yld" "High-income" "Gynecological diseases" 1203832.7186
"400" "yld" "High-income" "Hemoglobinopathies and hemolytic anemias" 1442334
"401" "yld" "High-income" "Hepatitis" 29569.49086
"402" "yld" "High-income" "HIV/AIDS" 194668.1692
"403" "yld" "High-income" "Leprosy" 23.88100136
"404" "yld" "High-income" "Malaria" 1311.873492
"405" "yld" "High-income" "Maternal disorders" 41860.3273428
"406" "yld" "High-income" "Mental and behavioral disorders" 29061896.39185
"407" "yld" "High-income" "Musculoskeletal disorders" 34901684.83688
"408" "yld" "High-income" "Neglected tropical diseases excluding malaria" 155061.948823866
"409" "yld" "High-income" "Neonatal disorders" 637624.791063
"410" "yld" "High-income" "Neoplasms" 1864189.2884704
"411" "yld" "High-income" "Neurological disorders" 7963363.6705
"412" "yld" "High-income" "Nutritional deficiencies" 924801.505821
"413" "yld" "High-income" "Oral disorders" 2345971.817
"414" "yld" "High-income" "Sense organ diseases" 4132123.676
"415" "yld" "High-income" "Sexually transmitted diseases excluding HIV" 141774.06307
"416" "yld" "High-income" "Skin and subcutaneous diseases" 5128400.68
"417" "yld" "High-income" "Sudden infant death syndrome" 0
"418" "yld" "High-income" "Tuberculosis" 163029.0168
"419" "yld" "Latin America and Caribbean" "Cardiovascular and circulatory diseases" 1134927.694629
"420" "yld" "Latin America and Caribbean" "Chronic respiratory diseases" 3071043.682119
"421" "yld" "Latin America and Caribbean" "Cirrhosis of the liver" 36167.713894
"422" "yld" "Latin America and Caribbean" "Congenital anomalies" 220732.754
"423" "yld" "Latin America and Caribbean" "Diabetes, urinary diseases and male infertility" 2063081.98871584
"424" "yld" "Latin America and Caribbean" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 1583716.55478322
"425" "yld" "Latin America and Caribbean" "Digestive diseases (except cirrhosis)" 369651.022308
"426" "yld" "Latin America and Caribbean" "Gynecological diseases" 647287.302
"427" "yld" "Latin America and Caribbean" "Hemoglobinopathies and hemolytic anemias" 712544.523
"428" "yld" "Latin America and Caribbean" "Hepatitis" 23548.37833
"429" "yld" "Latin America and Caribbean" "HIV/AIDS" 193661.4212
"430" "yld" "Latin America and Caribbean" "Leprosy" 1060.8730239
"431" "yld" "Latin America and Caribbean" "Malaria" 16937.1011865
"432" "yld" "Latin America and Caribbean" "Maternal disorders" 23790.6606143
"433" "yld" "Latin America and Caribbean" "Mental and behavioral disorders" 14131616.43771
"434" "yld" "Latin America and Caribbean" "Musculoskeletal disorders" 10370753.449474
"435" "yld" "Latin America and Caribbean" "Neglected tropical diseases excluding malaria" 1187643.67877077
"436" "yld" "Latin America and Caribbean" "Neonatal disorders" 638968.9856982
"437" "yld" "Latin America and Caribbean" "Neoplasms" 214480.9065379
"438" "yld" "Latin America and Caribbean" "Neurological disorders" 3529400.50589
"439" "yld" "Latin America and Caribbean" "Nutritional deficiencies" 2708382.15284243
"440" "yld" "Latin America and Caribbean" "Oral disorders" 1248381.99
"441" "yld" "Latin America and Caribbean" "Sense organ diseases" 2238808.436
"442" "yld" "Latin America and Caribbean" "Sexually transmitted diseases excluding HIV" 109669.134
"443" "yld" "Latin America and Caribbean" "Skin and subcutaneous diseases" 2687820.437
"444" "yld" "Latin America and Caribbean" "Sudden infant death syndrome" 0
"445" "yld" "Latin America and Caribbean" "Tuberculosis" 253607.02892
"446" "yld" "North Africa and Middle East" "Cardiovascular and circulatory diseases" 1013068.71069
"447" "yld" "North Africa and Middle East" "Chronic respiratory diseases" 2511210.35572
"448" "yld" "North Africa and Middle East" "Cirrhosis of the liver" 28952.22945
"449" "yld" "North Africa and Middle East" "Congenital anomalies" 249119.872
"450" "yld" "North Africa and Middle East" "Diabetes, urinary diseases and male infertility" 2120362.5063137
"451" "yld" "North Africa and Middle East" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 1143107.35731154
"452" "yld" "North Africa and Middle East" "Digestive diseases (except cirrhosis)" 161111.24633
"453" "yld" "North Africa and Middle East" "Gynecological diseases" 646360.054
"454" "yld" "North Africa and Middle East" "Hemoglobinopathies and hemolytic anemias" 659208.3
"455" "yld" "North Africa and Middle East" "Hepatitis" 34620.5497
"456" "yld" "North Africa and Middle East" "HIV/AIDS" 18762.5228
"457" "yld" "North Africa and Middle East" "Leprosy" 34.2475894
"458" "yld" "North Africa and Middle East" "Malaria" 23018.820463
"459" "yld" "North Africa and Middle East" "Maternal disorders" 79145.948807
"460" "yld" "North Africa and Middle East" "Mental and behavioral disorders" 12104279.0889
"461" "yld" "North Africa and Middle East" "Musculoskeletal disorders" 8922897.26901
"462" "yld" "North Africa and Middle East" "Neglected tropical diseases excluding malaria" 416335.805023192
"463" "yld" "North Africa and Middle East" "Neonatal disorders" 511354.945174
"464" "yld" "North Africa and Middle East" "Neoplasms" 90985.550432
"465" "yld" "North Africa and Middle East" "Neurological disorders" 2069897.8794
"466" "yld" "North Africa and Middle East" "Nutritional deficiencies" 3482114.7308315
"467" "yld" "North Africa and Middle East" "Oral disorders" 817136.73
"468" "yld" "North Africa and Middle East" "Sense organ diseases" 1802577.68
"469" "yld" "North Africa and Middle East" "Sexually transmitted diseases excluding HIV" 68985.836
"470" "yld" "North Africa and Middle East" "Skin and subcutaneous diseases" 1974860.5
"471" "yld" "North Africa and Middle East" "Sudden infant death syndrome" 0
"472" "yld" "North Africa and Middle East" "Tuberculosis" 429243.479
"473" "yld" "South Asia" "Cardiovascular and circulatory diseases" 3247396.22154
"474" "yld" "South Asia" "Chronic respiratory diseases" 13497216.6021
"475" "yld" "South Asia" "Cirrhosis of the liver" 130787.24286
"476" "yld" "South Asia" "Congenital anomalies" 914433.328
"477" "yld" "South Asia" "Diabetes, urinary diseases and male infertility" 4665710.299404
"478" "yld" "South Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 5183724.61768754
"479" "yld" "South Asia" "Digestive diseases (except cirrhosis)" 876400.705728
"480" "yld" "South Asia" "Gynecological diseases" 2629728.705
"481" "yld" "South Asia" "Hemoglobinopathies and hemolytic anemias" 2614996.764
"482" "yld" "South Asia" "Hepatitis" 121467.8899
"483" "yld" "South Asia" "HIV/AIDS" 692371.455
"484" "yld" "South Asia" "Leprosy" 5635.277723
"485" "yld" "South Asia" "Malaria" 549074.634
"486" "yld" "South Asia" "Maternal disorders" 442152.12892
"487" "yld" "South Asia" "Mental and behavioral disorders" 35355189.3674
"488" "yld" "South Asia" "Musculoskeletal disorders" 27304925.2693
"489" "yld" "South Asia" "Neglected tropical diseases excluding malaria" 4970371.7331932
"490" "yld" "South Asia" "Neonatal disorders" 2982144.25631
"491" "yld" "South Asia" "Neoplasms" 324817.4459485
"492" "yld" "South Asia" "Neurological disorders" 9746837.7615
"493" "yld" "South Asia" "Nutritional deficiencies" 22993160.382785
"494" "yld" "South Asia" "Oral disorders" 3229059.62
"495" "yld" "South Asia" "Sense organ diseases" 8925553.12
"496" "yld" "South Asia" "Sexually transmitted diseases excluding HIV" 171593.5161
"497" "yld" "South Asia" "Skin and subcutaneous diseases" 7375369.68
"498" "yld" "South Asia" "Sudden infant death syndrome" 0
"499" "yld" "South Asia" "Tuberculosis" 2656362.74
"500" "yld" "Southeast Asia, East Asia and Oceania" "Cardiovascular and circulatory diseases" 5108139.96324
"501" "yld" "Southeast Asia, East Asia and Oceania" "Chronic respiratory diseases" 9804920.634649
"502" "yld" "Southeast Asia, East Asia and Oceania" "Cirrhosis of the liver" 189816.814394
"503" "yld" "Southeast Asia, East Asia and Oceania" "Congenital anomalies" 818558.6708
"504" "yld" "Southeast Asia, East Asia and Oceania" "Diabetes, urinary diseases and male infertility" 8337121.09539188
"505" "yld" "Southeast Asia, East Asia and Oceania" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 4677506.49788378
"506" "yld" "Southeast Asia, East Asia and Oceania" "Digestive diseases (except cirrhosis)" 1649823.495509
"507" "yld" "Southeast Asia, East Asia and Oceania" "Gynecological diseases" 2678894.66
"508" "yld" "Southeast Asia, East Asia and Oceania" "Hemoglobinopathies and hemolytic anemias" 1989456.0215
"509" "yld" "Southeast Asia, East Asia and Oceania" "Hepatitis" 177211.15787
"510" "yld" "Southeast Asia, East Asia and Oceania" "HIV/AIDS" 350698.50664
"511" "yld" "Southeast Asia, East Asia and Oceania" "Leprosy" 791.041623
"512" "yld" "Southeast Asia, East Asia and Oceania" "Malaria" 301486.73547
"513" "yld" "Southeast Asia, East Asia and Oceania" "Maternal disorders" 431159.0070276
"514" "yld" "Southeast Asia, East Asia and Oceania" "Mental and behavioral disorders" 43805534.04281
"515" "yld" "Southeast Asia, East Asia and Oceania" "Musculoskeletal disorders" 41317340.588131
"516" "yld" "Southeast Asia, East Asia and Oceania" "Neglected tropical diseases excluding malaria" 5745078.41110206
"517" "yld" "Southeast Asia, East Asia and Oceania" "Neonatal disorders" 2516995.982885
"518" "yld" "Southeast Asia, East Asia and Oceania" "Neoplasms" 935601.2977956
"519" "yld" "Southeast Asia, East Asia and Oceania" "Neurological disorders" 8769421.78259
"520" "yld" "Southeast Asia, East Asia and Oceania" "Nutritional deficiencies" 7891036.81541524
"521" "yld" "Southeast Asia, East Asia and Oceania" "Oral disorders" 4105884.8098
"522" "yld" "Southeast Asia, East Asia and Oceania" "Sense organ diseases" 9048243.671
"523" "yld" "Southeast Asia, East Asia and Oceania" "Sexually transmitted diseases excluding HIV" 480912.5852
"524" "yld" "Southeast Asia, East Asia and Oceania" "Skin and subcutaneous diseases" 8706916.567
"525" "yld" "Southeast Asia, East Asia and Oceania" "Sudden infant death syndrome" 0
"526" "yld" "Southeast Asia, East Asia and Oceania" "Tuberculosis" 1877394.5581
"527" "yld" "Sub-Saharian Africa" "Cardiovascular and circulatory diseases" 1452230.347955
"528" "yld" "Sub-Saharian Africa" "Chronic respiratory diseases" 6377156.903779
"529" "yld" "Sub-Saharian Africa" "Cirrhosis of the liver" 54983.735119
"530" "yld" "Sub-Saharian Africa" "Congenital anomalies" 412497.1187
"531" "yld" "Sub-Saharian Africa" "Diabetes, urinary diseases and male infertility" 1480901.41087054
"532" "yld" "Sub-Saharian Africa" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 3702542.24422546
"533" "yld" "Sub-Saharian Africa" "Digestive diseases (except cirrhosis)" 553243.5392288
"534" "yld" "Sub-Saharian Africa" "Gynecological diseases" 1086116.2236
"535" "yld" "Sub-Saharian Africa" "Hemoglobinopathies and hemolytic anemias" 1981981.182
"536" "yld" "Sub-Saharian Africa" "Hepatitis" 108302.86312
"537" "yld" "Sub-Saharian Africa" "HIV/AIDS" 3053653.0394319
"538" "yld" "Sub-Saharian Africa" "Leprosy" 970.3528647
"539" "yld" "Sub-Saharian Africa" "Malaria" 2990778.685867
"540" "yld" "Sub-Saharian Africa" "Maternal disorders" 604819.0743672
"541" "yld" "Sub-Saharian Africa" "Mental and behavioral disorders" 16743522.47126
"542" "yld" "Sub-Saharian Africa" "Musculoskeletal disorders" 12827277.319812
"543" "yld" "Sub-Saharian Africa" "Neglected tropical diseases excluding malaria" 5654915.61962143
"544" "yld" "Sub-Saharian Africa" "Neonatal disorders" 1678365.9092282
"545" "yld" "Sub-Saharian Africa" "Neoplasms" 110703.2048183
"546" "yld" "Sub-Saharian Africa" "Neurological disorders" 3826188.48482
"547" "yld" "Sub-Saharian Africa" "Nutritional deficiencies" 11012719.4948906
"548" "yld" "Sub-Saharian Africa" "Oral disorders" 1223932.799
"549" "yld" "Sub-Saharian Africa" "Sense organ diseases" 3381445.424
"550" "yld" "Sub-Saharian Africa" "Sexually transmitted diseases excluding HIV" 173954.9511
"551" "yld" "Sub-Saharian Africa" "Skin and subcutaneous diseases" 4147509.288
"552" "yld" "Sub-Saharian Africa" "Sudden infant death syndrome" 0
"553" "yld" "Sub-Saharian Africa" "Tuberculosis" 987791.4456
"554" "yll" "Central Europe, Eastern Europe, and Central Asia" "Cardiovascular and circulatory diseases" 50984885.2644
"555" "yll" "Central Europe, Eastern Europe, and Central Asia" "Chronic respiratory diseases" 3211734.8773
"556" "yll" "Central Europe, Eastern Europe, and Central Asia" "Cirrhosis of the liver" 4024456.989
"557" "yll" "Central Europe, Eastern Europe, and Central Asia" "Congenital anomalies" 1924091.363
"558" "yll" "Central Europe, Eastern Europe, and Central Asia" "Diabetes, urinary diseases and male infertility" 2400854.124
"559" "yll" "Central Europe, Eastern Europe, and Central Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 6401673.87622
"560" "yll" "Central Europe, Eastern Europe, and Central Asia" "Digestive diseases (except cirrhosis)" 2192991.2369
"561" "yll" "Central Europe, Eastern Europe, and Central Asia" "Gynecological diseases" 17522.1958
"562" "yll" "Central Europe, Eastern Europe, and Central Asia" "Hemoglobinopathies and hemolytic anemias" 89994.7198
"563" "yll" "Central Europe, Eastern Europe, and Central Asia" "Hepatitis" 105909.915
"564" "yll" "Central Europe, Eastern Europe, and Central Asia" "HIV/AIDS" 2455879.0231
"565" "yll" "Central Europe, Eastern Europe, and Central Asia" "Leprosy" 0
"566" "yll" "Central Europe, Eastern Europe, and Central Asia" "Malaria" 1164.23962
"567" "yll" "Central Europe, Eastern Europe, and Central Asia" "Maternal disorders" 101259.635615
"568" "yll" "Central Europe, Eastern Europe, and Central Asia" "Mental and behavioral disorders" 2413166.5969
"569" "yll" "Central Europe, Eastern Europe, and Central Asia" "Musculoskeletal disorders" 213656.2258
"570" "yll" "Central Europe, Eastern Europe, and Central Asia" "Neglected tropical diseases excluding malaria" 74418.224188
"571" "yll" "Central Europe, Eastern Europe, and Central Asia" "Neonatal disorders" 3480992.401
"572" "yll" "Central Europe, Eastern Europe, and Central Asia" "Neoplasms" 19120835.9407
"573" "yll" "Central Europe, Eastern Europe, and Central Asia" "Neurological disorders" 1387363.8783
"574" "yll" "Central Europe, Eastern Europe, and Central Asia" "Nutritional deficiencies" 146567.05116
"575" "yll" "Central Europe, Eastern Europe, and Central Asia" "Sexually transmitted diseases excluding HIV" 46010.3347
"576" "yll" "Central Europe, Eastern Europe, and Central Asia" "Skin and subcutaneous diseases" 38608.6769
"577" "yll" "Central Europe, Eastern Europe, and Central Asia" "Sudden infant death syndrome" 112081.129
"578" "yll" "Central Europe, Eastern Europe, and Central Asia" "Tuberculosis" 2355700.011
"579" "yll" "High-income" "Cardiovascular and circulatory diseases" 38081445.23631
"580" "yll" "High-income" "Chronic respiratory diseases" 6250708.5057
"581" "yll" "High-income" "Cirrhosis of the liver" 3922691.4204
"582" "yll" "High-income" "Congenital anomalies" 1963851.683
"583" "yll" "High-income" "Diabetes, urinary diseases and male infertility" 5875988.606455
"584" "yll" "High-income" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 4880946.9812506
"585" "yll" "High-income" "Digestive diseases (except cirrhosis)" 2639791.05093
"586" "yll" "High-income" "Gynecological diseases" 13693.993005
"587" "yll" "High-income" "Hemoglobinopathies and hemolytic anemias" 170269.4343
"588" "yll" "High-income" "Hepatitis" 174172.26877
"589" "yll" "High-income" "HIV/AIDS" 1018755.667
"590" "yll" "High-income" "Leprosy" 0
"591" "yll" "High-income" "Malaria" 99.3754
"592" "yll" "High-income" "Maternal disorders" 87666.46046252
"593" "yll" "High-income" "Mental and behavioral disorders" 2205638.07095
"594" "yll" "High-income" "Musculoskeletal disorders" 670006.28457
"595" "yll" "High-income" "Neglected tropical diseases excluding malaria" 100387.0913177
"596" "yll" "High-income" "Neonatal disorders" 3173923.26741
"597" "yll" "High-income" "Neoplasms" 41434085.43655
"598" "yll" "High-income" "Neurological disorders" 4505273.16805
"599" "yll" "High-income" "Nutritional deficiencies" 271224.131401
"600" "yll" "High-income" "Sexually transmitted diseases excluding HIV" 33970.468009
"601" "yll" "High-income" "Skin and subcutaneous diseases" 184051.4017
"602" "yll" "High-income" "Sudden infant death syndrome" 316814.359
"603" "yll" "High-income" "Tuberculosis" 272843.5714
"604" "yll" "Latin America and Caribbean" "Cardiovascular and circulatory diseases" 13877968.5931
"605" "yll" "Latin America and Caribbean" "Chronic respiratory diseases" 2429860.97846
"606" "yll" "Latin America and Caribbean" "Cirrhosis of the liver" 2340255.6045
"607" "yll" "Latin America and Caribbean" "Congenital anomalies" 3396777.362
"608" "yll" "Latin America and Caribbean" "Diabetes, urinary diseases and male infertility" 4803326.94516
"609" "yll" "Latin America and Caribbean" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 9051400.587314
"610" "yll" "Latin America and Caribbean" "Digestive diseases (except cirrhosis)" 1589733.89352
"611" "yll" "Latin America and Caribbean" "Gynecological diseases" 22985.85452
"612" "yll" "Latin America and Caribbean" "Hemoglobinopathies and hemolytic anemias" 173109.149
"613" "yll" "Latin America and Caribbean" "Hepatitis" 120133.1836
"614" "yll" "Latin America and Caribbean" "HIV/AIDS" 3396144.166
"615" "yll" "Latin America and Caribbean" "Leprosy" 0
"616" "yll" "Latin America and Caribbean" "Malaria" 92867.45967
"617" "yll" "Latin America and Caribbean" "Maternal disorders" 443855.5223904
"618" "yll" "Latin America and Caribbean" "Mental and behavioral disorders" 698302.21509
"619" "yll" "Latin America and Caribbean" "Musculoskeletal disorders" 311042.921
"620" "yll" "Latin America and Caribbean" "Neglected tropical diseases excluding malaria" 421363.95973011
"621" "yll" "Latin America and Caribbean" "Neonatal disorders" 9430098.5158
"622" "yll" "Latin America and Caribbean" "Neoplasms" 9482885.95828
"623" "yll" "Latin America and Caribbean" "Neurological disorders" 984454.9004
"624" "yll" "Latin America and Caribbean" "Nutritional deficiencies" 1639995.233033
"625" "yll" "Latin America and Caribbean" "Sexually transmitted diseases excluding HIV" 388799.8621
"626" "yll" "Latin America and Caribbean" "Skin and subcutaneous diseases" 129270.1439
"627" "yll" "Latin America and Caribbean" "Sudden infant death syndrome" 72350.122
"628" "yll" "Latin America and Caribbean" "Tuberculosis" 792719.2775
"629" "yll" "North Africa and Middle East" "Cardiovascular and circulatory diseases" 18200967.5883
"630" "yll" "North Africa and Middle East" "Chronic respiratory diseases" 2270654.6384
"631" "yll" "North Africa and Middle East" "Cirrhosis of the liver" 1442692.625
"632" "yll" "North Africa and Middle East" "Congenital anomalies" 4841947.05
"633" "yll" "North Africa and Middle East" "Diabetes, urinary diseases and male infertility" 2550838.0774
"634" "yll" "North Africa and Middle East" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 9642370.695332
"635" "yll" "North Africa and Middle East" "Digestive diseases (except cirrhosis)" 923062.712257
"636" "yll" "North Africa and Middle East" "Gynecological diseases" 11004.73902
"637" "yll" "North Africa and Middle East" "Hemoglobinopathies and hemolytic anemias" 407635.943
"638" "yll" "North Africa and Middle East" "Hepatitis" 304005.981
"639" "yll" "North Africa and Middle East" "HIV/AIDS" 266502.3841
"640" "yll" "North Africa and Middle East" "Leprosy" 0
"641" "yll" "North Africa and Middle East" "Malaria" 474403.5671
"642" "yll" "North Africa and Middle East" "Maternal disorders" 347145.39416
"643" "yll" "North Africa and Middle East" "Mental and behavioral disorders" 342719.2778
"644" "yll" "North Africa and Middle East" "Musculoskeletal disorders" 97377.2977
"645" "yll" "North Africa and Middle East" "Neglected tropical diseases excluding malaria" 368168.469699
"646" "yll" "North Africa and Middle East" "Neonatal disorders" 9774220.667
"647" "yll" "North Africa and Middle East" "Neoplasms" 6119425.4502
"648" "yll" "North Africa and Middle East" "Neurological disorders" 924578.1374
"649" "yll" "North Africa and Middle East" "Nutritional deficiencies" 732754.1496159
"650" "yll" "North Africa and Middle East" "Sexually transmitted diseases excluding HIV" 247034.9305
"651" "yll" "North Africa and Middle East" "Skin and subcutaneous diseases" 91386.991
"652" "yll" "North Africa and Middle East" "Sudden infant death syndrome" 66582.5199
"653" "yll" "North Africa and Middle East" "Tuberculosis" 447167.378
"654" "yll" "South Asia" "Cardiovascular and circulatory diseases" 53147808.1524
"655" "yll" "South Asia" "Chronic respiratory diseases" 25413821.394
"656" "yll" "South Asia" "Cirrhosis of the liver" 7617848.528
"657" "yll" "South Asia" "Congenital anomalies" 11927805.43
"658" "yll" "South Asia" "Diabetes, urinary diseases and male infertility" 13683980.084
"659" "yll" "South Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 125671237.1465
"660" "yll" "South Asia" "Digestive diseases (except cirrhosis)" 9760675.1069
"661" "yll" "South Asia" "Gynecological diseases" 31138.69
"662" "yll" "South Asia" "Hemoglobinopathies and hemolytic anemias" 1285748.881
"663" "yll" "South Asia" "Hepatitis" 7795137.22
"664" "yll" "South Asia" "HIV/AIDS" 8651370.697
"665" "yll" "South Asia" "Leprosy" 0
"666" "yll" "South Asia" "Malaria" 5216573.83
"667" "yll" "South Asia" "Maternal disorders" 6143337.3416
"668" "yll" "South Asia" "Mental and behavioral disorders" 530842.29106
"669" "yll" "South Asia" "Musculoskeletal disorders" 347108.9859
"670" "yll" "South Asia" "Neglected tropical diseases excluding malaria" 3863545.826883
"671" "yll" "South Asia" "Neonatal disorders" 97902297.67
"672" "yll" "South Asia" "Neoplasms" 22533584.74712
"673" "yll" "South Asia" "Neurological disorders" 10845311.9746
"674" "yll" "South Asia" "Nutritional deficiencies" 10706457.54297
"675" "yll" "South Asia" "Sexually transmitted diseases excluding HIV" 3323457.67
"676" "yll" "South Asia" "Skin and subcutaneous diseases" 1085460.704
"677" "yll" "South Asia" "Sudden infant death syndrome" 614820.087
"678" "yll" "South Asia" "Tuberculosis" 21005995.5
"679" "yll" "Southeast Asia, East Asia and Oceania" "Cardiovascular and circulatory diseases" 76603246.69302
"680" "yll" "Southeast Asia, East Asia and Oceania" "Chronic respiratory diseases" 21988928.13766
"681" "yll" "Southeast Asia, East Asia and Oceania" "Cirrhosis of the liver" 7178240.6295
"682" "yll" "Southeast Asia, East Asia and Oceania" "Congenital anomalies" 9220801.544
"683" "yll" "Southeast Asia, East Asia and Oceania" "Diabetes, urinary diseases and male infertility" 12774188.31623
"684" "yll" "Southeast Asia, East Asia and Oceania" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 32671347.901224
"685" "yll" "Southeast Asia, East Asia and Oceania" "Digestive diseases (except cirrhosis)" 4854511.129163
"686" "yll" "Southeast Asia, East Asia and Oceania" "Gynecological diseases" 85338.0424
"687" "yll" "Southeast Asia, East Asia and Oceania" "Hemoglobinopathies and hemolytic anemias" 862763.3346
"688" "yll" "Southeast Asia, East Asia and Oceania" "Hepatitis" 1761392.088
"689" "yll" "Southeast Asia, East Asia and Oceania" "HIV/AIDS" 5178686.732
"690" "yll" "Southeast Asia, East Asia and Oceania" "Leprosy" 0
"691" "yll" "Southeast Asia, East Asia and Oceania" "Malaria" 3249435.1123
"692" "yll" "Southeast Asia, East Asia and Oceania" "Maternal disorders" 1894493.66243
"693" "yll" "Southeast Asia, East Asia and Oceania" "Mental and behavioral disorders" 1198345.71525
"694" "yll" "Southeast Asia, East Asia and Oceania" "Musculoskeletal disorders" 892427.42999
"695" "yll" "Southeast Asia, East Asia and Oceania" "Neglected tropical diseases excluding malaria" 1393996.1360762
"696" "yll" "Southeast Asia, East Asia and Oceania" "Neonatal disorders" 25437946.636
"697" "yll" "Southeast Asia, East Asia and Oceania" "Neoplasms" 64803462.051138
"698" "yll" "Southeast Asia, East Asia and Oceania" "Neurological disorders" 2910312.64192
"699" "yll" "Southeast Asia, East Asia and Oceania" "Nutritional deficiencies" 1467964.472026
"700" "yll" "Southeast Asia, East Asia and Oceania" "Sexually transmitted diseases excluding HIV" 832404.3326
"701" "yll" "Southeast Asia, East Asia and Oceania" "Skin and subcutaneous diseases" 512312.5905
"702" "yll" "Southeast Asia, East Asia and Oceania" "Sudden infant death syndrome" 235197.2442
"703" "yll" "Southeast Asia, East Asia and Oceania" "Tuberculosis" 11223078.153
